audit_action,audit_reason,certificate,course_code,course_title,depth,link_text,url,canonical_url,source_page,html_title,status
excluded,duplicate canonical page alias,Web & Computer Programming,CSE 110,Introduction to Programming,1,Home,https://byui-cse.github.io/cse110-ww-course/index.html,https://byui-cse.github.io/cse110-ww-course/,https://byui-cse.github.io/cse110-ww-course/,CSE 110 | Home,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,3,books.txt,https://byui-cse.github.io/cse110-ww-course/week06/books.txt,https://byui-cse.github.io/cse110-ww-course/week06/books.txt,https://byui-cse.github.io/cse110-ww-course/week06/prepare-1-files.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,3,hr_system.txt,https://byui-cse.github.io/cse110-ww-course/week06/hr_system.txt,https://byui-cse.github.io/cse110-ww-course/week06/hr_system.txt,https://byui-cse.github.io/cse110-ww-course/week06/code-along.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,3,life-expectancy.csv,https://byui-cse.github.io/cse110-ww-course/week06/life-expectancy.csv,https://byui-cse.github.io/cse110-ww-course/week06/life-expectancy.csv,https://byui-cse.github.io/cse110-ww-course/week06/project.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,3,Reflection Document Template,https://byui-cse.github.io/cse110-ww-course/week07/cse110_reflection.docx,https://byui-cse.github.io/cse110-ww-course/week07/cse110_reflection.docx,https://byui-cse.github.io/cse110-ww-course/week07/ponder.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,prepare01_sample.py,https://byui-cse.github.io/cse110-ww-course/week01/samples/prepare01_sample.py,https://byui-cse.github.io/cse110-ww-course/week01/samples/prepare01_sample.py,https://byui-cse.github.io/cse110-ww-course/week01/samples/prepare01_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,prepare02_sample.py,https://byui-cse.github.io/cse110-ww-course/week01/samples/prepare02_sample.py,https://byui-cse.github.io/cse110-ww-course/week01/samples/prepare02_sample.py,https://byui-cse.github.io/cse110-ww-course/week01/samples/prepare02_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,codealong_idbadge_sample.py,https://byui-cse.github.io/cse110-ww-course/week01/samples/codealong_idbadge_sample.py,https://byui-cse.github.io/cse110-ww-course/week01/samples/codealong_idbadge_sample.py,https://byui-cse.github.io/cse110-ww-course/week01/samples/codealong_idbadge_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,prepare_math_sample.py,https://byui-cse.github.io/cse110-ww-course/week02/samples/prepare_math_sample.py,https://byui-cse.github.io/cse110-ww-course/week02/samples/prepare_math_sample.py,https://byui-cse.github.io/cse110-ww-course/week02/samples/prepare_math_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,prepare_temperature_sample.py,https://byui-cse.github.io/cse110-ww-course/week02/samples/prepare_temperature_sample.py,https://byui-cse.github.io/cse110-ww-course/week02/samples/prepare_temperature_sample.py,https://byui-cse.github.io/cse110-ww-course/week02/samples/prepare_temperature_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,codealong_areas_sample.py,https://byui-cse.github.io/cse110-ww-course/week02/samples/codealong_areas_sample.py,https://byui-cse.github.io/cse110-ww-course/week02/samples/codealong_areas_sample.py,https://byui-cse.github.io/cse110-ww-course/week02/samples/codealong_areas_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,prepare_ifs_sample.py,https://byui-cse.github.io/cse110-ww-course/week03/samples/prepare_ifs_sample.py,https://byui-cse.github.io/cse110-ww-course/week03/samples/prepare_ifs_sample.py,https://byui-cse.github.io/cse110-ww-course/week03/samples/prepare_ifs_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,prepare_loans_sample.py,https://byui-cse.github.io/cse110-ww-course/week03/samples/prepare_loans_sample.py,https://byui-cse.github.io/cse110-ww-course/week03/samples/prepare_loans_sample.py,https://byui-cse.github.io/cse110-ww-course/week03/samples/prepare_loans_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,codealong_grades_sample.py,https://byui-cse.github.io/cse110-ww-course/week03/samples/codealong_grades_sample.py,https://byui-cse.github.io/cse110-ww-course/week03/samples/codealong_grades_sample.py,https://byui-cse.github.io/cse110-ww-course/week03/samples/codealong_grades_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,prepare_while_loops_sample.py,https://byui-cse.github.io/cse110-ww-course/week04/samples/prepare_while_loops_sample.py,https://byui-cse.github.io/cse110-ww-course/week04/samples/prepare_while_loops_sample.py,https://byui-cse.github.io/cse110-ww-course/week04/samples/prepare_while_loops_sample_py.html,,ok
excluded,"non-HTML/download/resource link, not a course page",Web & Computer Programming,CSE 110,Introduction to Programming,4,prepare_for_loops_sample.py,https://byui-cse.github.io/cse110-ww-course/week04/samples/prepare_for_loops_sample.py,https://byui-cse.github.io/cse110-ww-course/week04/samples/prepare_for_loops_sample.py,https://byui-cse.github.io/cse110-ww-course/week04/samples/prepare_for_loops_sample_py.html,,ok
