certificate,course_code,course_title,lesson,page_type,depth,link_text,url,source_page,html_title,status,audit_note
Web & Computer Programming,CSE 110,Introduction to Programming,Course Home,course_home,0,Course Home,https://byui-cse.github.io/cse110-ww-course/,https://byui-cse.github.io/cse110-ww-course/,CSE 110 | Home,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,week_home,1,W1,https://byui-cse.github.io/cse110-ww-course/week01/,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,2,AI Policy,https://byui-cse.github.io/cse110-ww-course/week01/ai-assisted-development.html,https://byui-cse.github.io/cse110-ww-course/week01/,CSE 110 | AI-Policy,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,2,Input/Output,https://byui-cse.github.io/cse110-ww-course/week01/check-understanding.html,https://byui-cse.github.io/cse110-ww-course/week01/,CSE 110 | Check Your Understanding,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,2,ID Badge Generator,https://byui-cse.github.io/cse110-ww-course/week01/code-along.html,https://byui-cse.github.io/cse110-ww-course/week01/,CSE 110 | Learning Activities,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,2,Reflection,https://byui-cse.github.io/cse110-ww-course/week01/ponder.html,https://byui-cse.github.io/cse110-ww-course/week01/,CSE 110 | Reflection,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,2,Your First Program,https://byui-cse.github.io/cse110-ww-course/week01/prepare-1-first-program.html,https://byui-cse.github.io/cse110-ww-course/week01/,CSE 110 | Learning Activities,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,2,Input and Output,https://byui-cse.github.io/cse110-ww-course/week01/prepare-2-input-output.html,https://byui-cse.github.io/cse110-ww-course/week01/,CSE 110 | Learning Activities,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,2,Clever Stories,https://byui-cse.github.io/cse110-ww-course/week01/project.html,https://byui-cse.github.io/cse110-ww-course/week01/,CSE 110 | Project,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,2,Tools,https://byui-cse.github.io/cse110-ww-course/week01/setup.html,https://byui-cse.github.io/cse110-ww-course/week01/,CSE 110 | Course Setup,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,3,sample solution,https://byui-cse.github.io/cse110-ww-course/week01/samples/codealong_idbadge_sample_py.html,https://byui-cse.github.io/cse110-ww-course/week01/code-along.html,CSE 110 | Sample Solution,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,3,Sample Solution,https://byui-cse.github.io/cse110-ww-course/week01/samples/prepare01_sample_py.html,https://byui-cse.github.io/cse110-ww-course/week01/prepare-1-first-program.html,CSE 110 | Sample Solution,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 01,lesson_subpage,3,Sample Solution,https://byui-cse.github.io/cse110-ww-course/week01/samples/prepare02_sample_py.html,https://byui-cse.github.io/cse110-ww-course/week01/prepare-2-input-output.html,CSE 110 | Sample Solution,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,week_home,1,W2,https://byui-cse.github.io/cse110-ww-course/week02/,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,lesson_subpage,2,Variables and Expressions,https://byui-cse.github.io/cse110-ww-course/week02/check-understanding.html,https://byui-cse.github.io/cse110-ww-course/week02/,CSE 110 | Check Your Understanding,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,lesson_subpage,2,Area of Shapes,https://byui-cse.github.io/cse110-ww-course/week02/code-along.html,https://byui-cse.github.io/cse110-ww-course/week02/,CSE 110 | Code-along Activity,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,lesson_subpage,2,Reflection,https://byui-cse.github.io/cse110-ww-course/week02/ponder.html,https://byui-cse.github.io/cse110-ww-course/week02/,CSE 110 | Reflection,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,lesson_subpage,2,Numeric Variables,https://byui-cse.github.io/cse110-ww-course/week02/prepare-1-numeric.html,https://byui-cse.github.io/cse110-ww-course/week02/,CSE 110 | Learning Activities,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,lesson_subpage,2,Mathematical Expressions,https://byui-cse.github.io/cse110-ww-course/week02/prepare-2-math.html,https://byui-cse.github.io/cse110-ww-course/week02/,CSE 110 | Learning Activities,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,lesson_subpage,2,Meal Price Calculator,https://byui-cse.github.io/cse110-ww-course/week02/project.html,https://byui-cse.github.io/cse110-ww-course/week02/,CSE 110 | Project,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,lesson_subpage,3,sample solution,https://byui-cse.github.io/cse110-ww-course/week02/samples/codealong_areas_sample_py.html,https://byui-cse.github.io/cse110-ww-course/week02/code-along.html,CSE 110 | Sample Solution,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,lesson_subpage,3,Sample Solution,https://byui-cse.github.io/cse110-ww-course/week02/samples/prepare_math_sample_py.html,https://byui-cse.github.io/cse110-ww-course/week02/prepare-1-numeric.html,CSE 110 | Sample Solution,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 02,lesson_subpage,3,Sample Solution,https://byui-cse.github.io/cse110-ww-course/week02/samples/prepare_temperature_sample_py.html,https://byui-cse.github.io/cse110-ww-course/week02/prepare-2-math.html,CSE 110 | Sample Solution,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,week_home,1,W3,https://byui-cse.github.io/cse110-ww-course/week03/,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,lesson_subpage,2,Decisions,https://byui-cse.github.io/cse110-ww-course/week03/check-understanding.html,https://byui-cse.github.io/cse110-ww-course/week03/,CSE 110 | Check Your Understanding,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,lesson_subpage,2,Grade Calculator Program,https://byui-cse.github.io/cse110-ww-course/week03/code-along.html,https://byui-cse.github.io/cse110-ww-course/week03/,CSE 110 | Code-along Activity,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,lesson_subpage,2,Reflection,https://byui-cse.github.io/cse110-ww-course/week03/ponder.html,https://byui-cse.github.io/cse110-ww-course/week03/,CSE 110 | Reflection,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,lesson_subpage,2,Complex Conditions,https://byui-cse.github.io/cse110-ww-course/week03/prepare-complex-conditions.html,https://byui-cse.github.io/cse110-ww-course/week03/,CSE 110 | Learning Activities,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,lesson_subpage,2,If Statements,https://byui-cse.github.io/cse110-ww-course/week03/prepare-if-statements.html,https://byui-cse.github.io/cse110-ww-course/week03/,CSE 110 | Learning Activities,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,lesson_subpage,2,Adventure Game,https://byui-cse.github.io/cse110-ww-course/week03/project.html,https://byui-cse.github.io/cse110-ww-course/week03/,CSE 110 | Project,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,lesson_subpage,3,sample solution,https://byui-cse.github.io/cse110-ww-course/week03/samples/codealong_grades_sample_py.html,https://byui-cse.github.io/cse110-ww-course/week03/code-along.html,CSE 110 | Sample Solution,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,lesson_subpage,3,Sample Solution,https://byui-cse.github.io/cse110-ww-course/week03/samples/prepare_ifs_sample_py.html,https://byui-cse.github.io/cse110-ww-course/week03/prepare-if-statements.html,CSE 110 | Sample Solution,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 03,lesson_subpage,3,Sample Solution,https://byui-cse.github.io/cse110-ww-course/week03/samples/prepare_loans_sample_py.html,https://byui-cse.github.io/cse110-ww-course/week03/prepare-complex-conditions.html,CSE 110 | Sample Solution,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 04,week_home,1,W4,https://byui-cse.github.io/cse110-ww-course/week04/,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 04,lesson_subpage,2,Loops,https://byui-cse.github.io/cse110-ww-course/week04/check-understanding.html,https://byui-cse.github.io/cse110-ww-course/week04/,CSE 110 | Check Your Understanding,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 04,lesson_subpage,2,Guess My Number,https://byui-cse.github.io/cse110-ww-course/week04/code-along.html,https://byui-cse.github.io/cse110-ww-course/week04/,CSE 110 | Code-along Activity,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 04,lesson_subpage,2,Reflection,https://byui-cse.github.io/cse110-ww-course/week04/ponder.html,https://byui-cse.github.io/cse110-ww-course/week04/,CSE 110 | Reflection,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 04,lesson_subpage,2,While Loops,https://byui-cse.github.io/cse110-ww-course/week04/prepare-1-while-loops.html,https://byui-cse.github.io/cse110-ww-course/week04/,CSE 110 | Learning Activities,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 04,lesson_subpage,2,For Loop,https://byui-cse.github.io/cse110-ww-course/week04/prepare-2-for-loops.html,https://byui-cse.github.io/cse110-ww-course/week04/,CSE 110 | Learning Activities,ok,
Web & Computer Programming,CSE 110,Introduction to Programming,Week 04,lesson_subpage,2,Looping Through Strings,https://byui-cse.github.io/cse110-ww-course/week04/prepare-3-string-iteration.html,https://byui-cse.github.io/cse110-ww-course/week04/,CSE 110 | Learning Activities,ok,
