certificate,course_code,course_title,depth,link_text,url,source_page,html_title,status
Web & Computer Programming,CSE 110,Introduction to Programming,0,Course Home,https://byui-cse.github.io/cse110-ww-course/,https://byui-cse.github.io/cse110-ww-course/,CSE 110 | Home,ok
Web & Computer Programming,CSE 110,Introduction to Programming,1,Home,https://byui-cse.github.io/cse110-ww-course/index.html,https://byui-cse.github.io/cse110-ww-course/,CSE 110 | Home,ok
Web & Computer Programming,CSE 110,Introduction to Programming,1,W1,https://byui-cse.github.io/cse110-ww-course/week01/index.html,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok
Web & Computer Programming,CSE 110,Introduction to Programming,1,W2,https://byui-cse.github.io/cse110-ww-course/week02/index.html,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok
Web & Computer Programming,CSE 110,Introduction to Programming,1,W3,https://byui-cse.github.io/cse110-ww-course/week03/index.html,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok
Web & Computer Programming,CSE 110,Introduction to Programming,1,W4,https://byui-cse.github.io/cse110-ww-course/week04/index.html,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok
Web & Computer Programming,CSE 110,Introduction to Programming,1,W5,https://byui-cse.github.io/cse110-ww-course/week05/index.html,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok
Web & Computer Programming,CSE 110,Introduction to Programming,1,W6,https://byui-cse.github.io/cse110-ww-course/week06/index.html,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok
Web & Computer Programming,CSE 110,Introduction to Programming,1,W7,https://byui-cse.github.io/cse110-ww-course/week07/index.html,https://byui-cse.github.io/cse110-ww-course/,CSE 110,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,AI Policy,https://byui-cse.github.io/cse110-ww-course/week01/ai-assisted-development.html,https://byui-cse.github.io/cse110-ww-course/week01/index.html,CSE 110 | AI-Policy,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Tools,https://byui-cse.github.io/cse110-ww-course/week01/setup.html,https://byui-cse.github.io/cse110-ww-course/week01/index.html,CSE 110 | Course Setup,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Your First Program,https://byui-cse.github.io/cse110-ww-course/week01/prepare-1-first-program.html,https://byui-cse.github.io/cse110-ww-course/week01/index.html,CSE 110 | Learning Activities,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Input and Output,https://byui-cse.github.io/cse110-ww-course/week01/prepare-2-input-output.html,https://byui-cse.github.io/cse110-ww-course/week01/index.html,CSE 110 | Learning Activities,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Input/Output,https://byui-cse.github.io/cse110-ww-course/week01/check-understanding.html,https://byui-cse.github.io/cse110-ww-course/week01/index.html,CSE 110 | Check Your Understanding,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,ID Badge Generator,https://byui-cse.github.io/cse110-ww-course/week01/code-along.html,https://byui-cse.github.io/cse110-ww-course/week01/index.html,CSE 110 | Learning Activities,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Clever Stories,https://byui-cse.github.io/cse110-ww-course/week01/project.html,https://byui-cse.github.io/cse110-ww-course/week01/index.html,CSE 110 | Project,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Reflection,https://byui-cse.github.io/cse110-ww-course/week01/ponder.html,https://byui-cse.github.io/cse110-ww-course/week01/index.html,CSE 110 | Reflection,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Numeric Variables,https://byui-cse.github.io/cse110-ww-course/week02/prepare-1-numeric.html,https://byui-cse.github.io/cse110-ww-course/week02/index.html,CSE 110 | Learning Activities,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Mathematical Expressions,https://byui-cse.github.io/cse110-ww-course/week02/prepare-2-math.html,https://byui-cse.github.io/cse110-ww-course/week02/index.html,CSE 110 | Learning Activities,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Variables and Expressions,https://byui-cse.github.io/cse110-ww-course/week02/check-understanding.html,https://byui-cse.github.io/cse110-ww-course/week02/index.html,CSE 110 | Check Your Understanding,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Area of Shapes,https://byui-cse.github.io/cse110-ww-course/week02/code-along.html,https://byui-cse.github.io/cse110-ww-course/week02/index.html,CSE 110 | Code-along Activity,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Meal Price Calculator,https://byui-cse.github.io/cse110-ww-course/week02/project.html,https://byui-cse.github.io/cse110-ww-course/week02/index.html,CSE 110 | Project,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Reflection,https://byui-cse.github.io/cse110-ww-course/week02/ponder.html,https://byui-cse.github.io/cse110-ww-course/week02/index.html,CSE 110 | Reflection,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,If Statements,https://byui-cse.github.io/cse110-ww-course/week03/prepare-if-statements.html,https://byui-cse.github.io/cse110-ww-course/week03/index.html,CSE 110 | Learning Activities,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Complex Conditions,https://byui-cse.github.io/cse110-ww-course/week03/prepare-complex-conditions.html,https://byui-cse.github.io/cse110-ww-course/week03/index.html,CSE 110 | Learning Activities,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Decisions,https://byui-cse.github.io/cse110-ww-course/week03/check-understanding.html,https://byui-cse.github.io/cse110-ww-course/week03/index.html,CSE 110 | Check Your Understanding,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Grade Calculator Program,https://byui-cse.github.io/cse110-ww-course/week03/code-along.html,https://byui-cse.github.io/cse110-ww-course/week03/index.html,CSE 110 | Code-along Activity,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Adventure Game,https://byui-cse.github.io/cse110-ww-course/week03/project.html,https://byui-cse.github.io/cse110-ww-course/week03/index.html,CSE 110 | Project,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,Reflection,https://byui-cse.github.io/cse110-ww-course/week03/ponder.html,https://byui-cse.github.io/cse110-ww-course/week03/index.html,CSE 110 | Reflection,ok
Web & Computer Programming,CSE 110,Introduction to Programming,2,While Loops,https://byui-cse.github.io/cse110-ww-course/week04/prepare-1-while-loops.html,https://byui-cse.github.io/cse110-ww-course/week04/index.html,CSE 110 | Learning Activities,ok
